time,open,close,high,low,Volume
1632190500,4695800,4686000,4697200,4686000,0.76083407
1632190560,4681500,4679100,4682600,4679100,0.151
1632190620,4677600,4684500,4684500,4677600,0.09743903
1632190680,4684700,4685900,4685900,4682000,0.10673327
1632190740,4685900,4691110.961,4691110.96,4685900,1.40997792
1632190800,4691100,4689200,4691100,4689200,0.06143728
1632190860,4690500,4691596.47,4691596.47,4690500,0.11169928
1632190920,4691600,4686887.131,4692900,4686887.131,0.86854661
1632190980,4682000,4682100,4682100,4682000,0.081221
1632191040,4685800,4688300,4688300,4685200,0.01678571
1632191100,4688300,4682600,4690100,4682177.792,1.24894017
1632191160,4680147.946,4677500,4680147.95,4675300,0.09671332
1632191220,4680900,4680900,4680900,4679200,0.06834404
1632191280,4682600,4682600,4682600,4682600,0.02058022
1632191340,4682600,4678600,4682600,4678500,1.08585213
1632191400,4677600,4677600,4677600,4677600,0.005
1632191460,4676555.891,4671700,4676555.89,4671600,0.73810558
1632191520,4674100,4674100,4674100,4674100,0.00125003
1632191580,4674900,4674200,4674900,4674200,0.035
1632191640,4674500,4674500,4674500,4674500,0.00377096
1632191700,4677184.283,4677293.822,4677293.82,4677184.283,0.49453337
1632191760,4680100,4676700,4680100,4676700,0.47019661
1632191820,4676600,4672400,4676600,4672400,0.00936855
1632191880,4672700,4679500,4679500,4672700,0.075
1632192060,4681878.317,4683300,4683300,4681878.317,0.0068
1632192120,4683400,4684700,4684700,4683400,0.0072
1632192180,4684800,4688000,4688000,4684800,0.0134
1632192300,4684400,4688100,4688100,4684400,0.09154048
1632192360,4688200,4693973.63,4693973.63,4688200,0.02947536
1632192420,4693973.63,4696400,4696400,4693800,0.15515862
1632192480,4696500,4705400,4705400,4696500,0.42106496
1632192540,4705500,4703000,4707600,4703000,0.01257465
1632192600,4702584.202,4707900,4709400,4702584.202,0.28209481
1632192660,4709486.073,4711700,4711700,4709100,0.3363975
1632192720,4711800,4721800,4723800,4711800,0.5351576
1632192780,4719800,4716900,4720200,4716207.822,0.02872721
1632192840,4715400,4711400,4715500,4711400,0.35814513
1632192900,4711400,4711400,4711400,4711400,0.03
1632192960,4712100,4710100,4712100,4710000,0.00753861
1632193020,4704900,4704900,4704900,4704900,0.00125736
1632193080,4706600,4706600,4706600,4706600,0.01227219
1632193140,4706200,4706400,4706400,4706200,0.01
1632193200,4703300,4699200,4703300,4698100,0.07007792
1632193260,4696900,4696348.304,4696900,4696348.304,0.05128384
1632193320,4695100,4695100,4695100,4695100,0.00441844
1632193560,4697200,4694000,4697200,4694000,0.00289462
1632193740,4701499.011,4704000,4704100,4701499.011,0.04638
1632193800,4704000,4704000,4704000,4704000,0.03079
1632193860,4700500,4701100,4701500,4700500,0.13004423
1632193920,4700900,4697400,4700900,4697400,0.06
1632193980,4701500,4707400,4707400,4701500,0.13558
1632194040,4707400,4707400,4707400,4707400,0.00007591
1632194100,4706700,4706800,4706800,4706700,0.05031233
1632194160,4702800,4702800,4702800,4702800,0.00129012
1632194220,4700400,4694642.777,4700400,4694642.777,0.5535502
1632194340,4694600,4687700,4694600,4687100,0.67123378
1632194460,4691000,4688600,4691000,4688600,0.00145248
1632194520,4691200,4688600,4691200,4688600,0.22054528
1632194580,4690255.972,4690900,4690900,4690255.972,0.57725536
1632194640,4690900,4691300,4691300,4690900,0.24902721
1632194700,4691500,4699375.219,4699375.22,4691500,0.34035518
1632194760,4701770.645,4701770.645,4701770.64,4701770.645,0.0004
1632194820,4703000,4703000,4703000,4703000,0.00006005
